sourceID,sourceType,sourceLocation,destinationServiceType,destinationLocation,accessedNodeType,operation,value,timestamp,normality
34,2,6,4,6,8,1,7179,20873,7
66,4,3,4,3,8,3,7402,19048,7
81,7,0,0,6,2,3,8037,27063,7
61,4,2,4,2,8,3,4901,43669,7
1,0,6,0,6,1,1,6,7573,7
80,4,0,4,0,8,3,7482,37917,7
0,0,6,0,6,1,1,4,37408,7
76,4,12,4,12,8,3,7049,30628,7
34,2,6,3,6,4,1,1,28300,7
0,0,6,0,6,1,3,10,34440,7
72,4,17,4,17,8,3,1443,34968,7
19,2,1,3,1,4,1,1,30179,7
32,2,4,4,4,8,1,416,33854,7
79,4,6,4,6,8,3,7194,4767,7
0,0,6,0,6,1,1,7,39073,7
83,7,9,0,5,1,3,10,30225,7
18,2,5,3,5,4,1,1,28658,7
69,4,14,4,14,8,3,2411,7322,7
19,2,1,4,1,8,1,6802,39940,7
25,2,15,3,15,4,1,0,41240,7
28,2,18,3,18,4,1,1,3394,7
82,7,10,0,10,2,1,8037,15067,7
2,0,7,0,7,1,1,13,36031,7
80,4,0,4,0,8,3,2198,2605,7
65,4,9,4,9,8,3,2436,29405,7
29,2,19,4,19,8,1,1369,30869,7
5,0,5,0,5,1,1,7,13824,7
5,0,5,0,5,2,3,8037,5473,7
63,4,10,4,10,8,3,3467,10755,7
13,6,5,7,9,2,1,8037,27211,0
30,2,20,3,20,4,1,1,45306,7
21,2,3,3,3,4,1,0,37607,7
81,7,0,0,6,1,1,1,44348,7
66,4,3,4,3,8,3,7126,23566,7
77,4,4,4,4,8,3,6609,12353,7
77,4,4,4,4,8,3,421,12773,7
70,4,15,2,19,4,1,0,32569,4
83,7,9,0,5,1,1,10,22519,7
31,2,12,3,12,4,1,1,14502,7
31,2,12,2,12,4,3,1,26650,7
32,2,4,3,4,4,1,0,29806,7
3,0,10,0,10,1,1,6,40089,7
28,2,18,3,18,4,1,1,29469,7
17,2,10,4,10,8,1,7786,27478,7
3,0,10,0,10,1,1,12,420,7
21,2,3,3,3,4,1,1,21255,7
82,7,10,0,10,1,1,1,44341,7
26,2,16,4,16,8,1,4293,36242,7
32,2,4,4,4,8,1,992,38681,7
70,4,15,4,15,8,3,4322,2073,7
27,2,17,4,17,8,1,3959,25629,7
74,4,19,4,19,8,3,1735,37153,7
16,2,8,4,8,8,1,7439,28349,7
82,7,10,0,10,1,1,7,28862,7
0,0,6,0,6,1,3,4,38520,7
23,2,13,4,13,8,1,449,35534,7
30,2,20,4,20,8,1,4180,29205,7
19,2,1,3,1,4,1,0,5301,7
34,2,6,3,6,4,1,0,30110,7
17,2,10,4,10,8,1,4121,42408,7
30,2,20,3,20,4,1,0,27565,7
0,0,6,0,6,1,1,11,29829,7
64,4,1,1,5,2,3,8037,37602,2
29,2,19,4,19,8,1,182,35786,7
15,2,2,3,2,4,1,0,3771,0
78,4,7,4,7,8,3,6050,19630,7
82,7,10,0,10,1,1,11,40713,7
19,2,1,3,1,4,1,0,20815,7
1,0,6,0,6,1,3,9,30637,7
78,4,7,4,7,8,3,1526,13977,7
1,0,6,0,6,1,1,11,14406,7
33,2,7,3,7,4,1,0,14486,7
83,7,9,0,5,1,1,1,37704,7
2,0,7,0,7,1,1,13,15320,7
31,2,12,4,12,8,1,4458,21481,7
74,4,19,4,19,8,3,412,14971,7
63,4,10,4,10,8,3,4275,2120,7
83,7,9,0,5,1,1,13,26817,7
20,2,9,3,9,4,1,1,19292,7
28,2,18,3,18,4,1,1,3966,7
0,0,6,0,6,1,1,11,4223,7
0,0,6,0,6,1,3,7,9382,7
72,4,17,4,17,8,3,5183,33313,7
82,7,10,0,10,2,1,8037,2806,7
30,2,20,3,20,4,1,0,6229,7
65,4,9,4,9,8,3,1806,831,7
81,7,0,0,6,1,3,12,26452,7
31,2,12,4,12,8,1,731,20526,7
82,7,10,0,10,2,1,8037,23627,7
68,4,13,4,13,8,3,5383,34487,7
25,2,15,3,15,4,1,1,8272,7
70,4,15,4,15,8,3,2694,23771,7
78,4,7,4,7,8,3,6544,30568,7
21,2,3,3,3,4,1,0,31073,7
81,7,0,0,6,1,1,11,19296,7
68,4,13,2,14,4,1,0,32486,4
66,4,3,4,3,8,3,3364,22229,7
82,7,10,0,10,2,1,8037,26614,7
32,2,4,4,4,8,1,3645,32904,7
3,0,10,0,10,1,1,13,22259,7
17,2,10,3,10,4,1,1,34926,7
75,4,20,4,20,8,3,6583,38965,7
27,2,17,3,17,4,1,0,2867,7
69,4,14,4,14,8,3,2551,38964,7
29,2,19,3,19,4,1,0,26984,7
4,0,5,0,5,1,1,2,22276,7
81,7,0,0,6,2,1,8037,27937,7
0,0,6,0,6,1,1,4,44004,7
24,2,14,3,14,4,1,1,18827,7
5,0,5,0,5,2,1,8037,28481,7
77,4,4,4,4,8,3,4062,5682,7
64,4,1,4,1,8,3,323,20501,7
69,4,14,4,14,8,3,403,29021,7
81,7,0,0,6,2,3,8037,16033,7
63,4,10,4,10,8,3,1914,20339,7
81,7,0,0,7,1,1,13,8447,7
62,4,8,4,8,8,3,4323,25519,7
3,0,10,0,10,1,1,12,7200,7
3,0,10,0,10,1,1,9,29930,7
2,0,7,0,7,1,1,13,3329,7
68,4,13,4,13,8,3,4029,43687,7
22,2,11,3,11,4,1,0,5454,7
83,7,9,0,5,2,1,8037,28199,7
15,2,2,3,2,4,1,1,23506,7
28,2,18,3,18,4,1,0,32232,7
11,6,4,4,0,8,1,3035,39460,0
15,2,2,3,2,4,1,1,4712,7
79,4,6,4,6,8,3,2820,26139,7
4,0,5,0,5,2,1,8037,13709,7
5,0,5,0,5,1,1,6,7956,7
72,4,17,4,17,8,3,988,38338,7
21,2,3,4,3,8,1,5471,24292,7
31,2,12,4,12,8,1,1348,36073,7
17,2,10,3,10,4,1,1,29229,7
31,2,12,3,12,4,1,1,24910,7
18,2,5,3,5,4,1,1,13822,7
15,2,2,3,2,4,1,0,3677,0
62,4,8,4,8,8,3,7059,13402,7
64,4,1,2,9,4,1,0,19860,5
22,2,11,3,11,4,1,0,8817,7
81,7,0,0,6,2,1,8037,16374,7
26,2,16,3,16,4,1,1,22930,7
81,7,0,0,6,1,1,12,20075,7
77,4,4,4,4,8,3,6740,3170,7
1,0,6,0,6,1,1,10,38011,7
63,4,10,4,10,8,3,6417,1890,7
81,7,0,0,6,2,1,8037,18763,7
4,0,5,0,5,1,1,2,35157,7
4,0,5,0,5,1,1,2,9108,7
15,2,2,3,2,4,1,0,3681,0
21,2,3,3,3,4,1,0,30148,7
1,0,6,0,6,1,1,6,3486,7
72,4,17,4,17,8,3,3089,33970,7
3,0,10,0,10,1,1,4,12121,7
25,2,15,3,15,4,1,1,18381,7
0,0,6,0,6,2,1,8037,5094,7
29,2,19,3,19,4,1,1,871,7
5,0,5,0,5,1,1,6,31255,7
81,7,0,0,7,1,1,13,37982,7
81,7,0,0,6,1,3,12,16905,7
16,2,8,4,8,8,1,5292,33102,7
30,2,20,4,20,8,1,5841,26372,7
65,4,9,4,9,8,3,3773,7320,7
34,2,6,4,6,8,1,1998,38642,7
20,2,9,4,9,8,1,3210,26304,7
63,4,10,4,10,8,3,4762,14993,7
64,4,1,4,1,8,3,3496,39169,7
79,4,6,4,6,8,3,4178,33391,7
70,4,15,4,15,8,3,4152,23615,7
3,0,10,0,10,1,1,10,2756,7
3,0,10,0,10,1,3,12,12037,7
2,0,7,0,7,1,1,13,8833,7
22,2,11,3,11,4,1,0,27379,7
4,0,5,0,5,2,1,8037,22641,7
63,4,10,4,10,8,3,6057,17218,7
16,2,8,3,8,4,1,1,32866,7
29,2,19,3,19,4,1,0,18045,7
81,7,0,0,6,1,3,11,27951,7
67,4,11,4,11,8,3,5871,45848,7
4,0,5,0,5,1,1,10,14934,7
67,4,11,4,11,8,3,3184,15688,7
16,2,8,3,8,4,1,0,16302,7
4,0,5,0,5,1,1,9,1180,7
27,2,17,4,17,8,1,5459,25996,7
69,4,14,4,14,8,3,7012,40581,7
61,4,2,4,2,8,3,282,35717,7
4,0,5,0,5,2,1,8037,913,7
1,0,6,0,6,1,1,4,12423,7
28,2,18,4,18,8,1,7493,21781,7
68,4,13,4,13,8,3,178,2530,7
1,0,6,0,6,1,1,1,9425,7
82,7,10,0,10,1,1,11,42551,7
4,0,5,0,5,1,1,11,15466,7
83,7,9,0,5,2,1,8037,42624,7
33,2,7,4,7,8,1,6944,31059,7
2,0,7,0,7,1,1,13,14189,7
82,7,10,0,10,1,3,1,10874,7
0,0,6,0,6,1,1,7,19522,7
83,7,9,0,5,1,1,1,26038,7
69,4,14,4,14,8,3,610,31710,7
5,0,5,0,5,1,1,6,34195,7
28,2,18,3,18,4,1,0,105,7
81,7,0,0,6,1,1,1,7718,7
18,2,5,3,5,4,1,0,880,7
29,2,19,3,19,4,1,1,45354,7
62,4,8,4,8,8,3,342,6142,7
5,0,5,0,5,1,1,4,38910,7
5,0,5,0,5,1,1,1,42791,7
15,2,2,3,2,4,1,1,6062,7
74,4,19,4,19,8,3,7047,6915,7
16,2,8,4,8,8,1,3909,35081,7
73,4,18,4,18,8,3,1601,8720,7
1,0,6,0,6,1,3,7,6849,7
82,7,10,0,10,2,1,8037,33025,7
68,4,13,4,13,8,3,1019,37460,7
32,2,4,4,4,8,1,4845,25032,7
27,2,17,3,17,4,1,0,4823,7
3,0,10,0,10,1,1,0,28690,7
33,2,7,3,7,4,1,0,12042,7
15,2,2,3,2,4,1,1,20254,7
30,2,20,3,20,4,1,1,42048,7
1,0,6,0,6,1,1,13,37694,7
5,0,5,0,5,1,1,6,13254,7
17,2,10,3,10,4,1,1,34995,7
5,0,5,0,5,1,1,4,2023,7
68,4,13,4,13,8,3,4078,30547,7
19,2,1,4,1,8,1,5176,37138,7
4,0,5,0,5,1,1,4,13478,7
65,4,9,4,9,8,3,2891,4319,7
26,2,16,3,16,4,1,0,37391,7
0,0,6,0,6,1,1,1,34632,7
83,7,9,0,5,1,3,0,31929,7
1,0,6,0,6,1,1,4,24162,7
25,2,15,3,15,4,1,1,25562,7
81,7,0,0,6,1,3,2,13301,7
17,2,10,4,10,8,1,4883,34814,7
5,0,5,0,5,1,1,13,19466,7
45,3,13,3,13,1,3,8031,41957,7
81,7,0,0,6,1,3,6,22932,7
15,2,2,2,2,4,3,0,16320,7
26,2,16,3,16,4,1,0,2152,7
83,7,9,0,5,2,1,8037,10078,7
69,4,14,4,14,8,3,6694,38157,7
32,2,4,3,4,4,1,1,43132,7
63,4,10,4,10,8,3,4631,26568,7
0,0,6,0,6,1,1,10,15951,7
68,4,13,4,13,8,3,2872,11437,7
81,7,0,0,6,2,1,8037,14589,7
81,7,0,0,6,2,1,8037,43993,7
5,0,5,0,5,1,3,11,10087,7
81,7,0,0,7,1,1,13,2016,7
0,0,6,0,6,1,1,12,11579,7
79,4,6,4,6,8,3,5254,37279,7
22,2,11,3,11,4,1,0,28615,7
21,2,3,3,3,4,1,0,34987,7
15,2,2,4,2,8,1,3231,22635,7
83,7,9,0,5,1,1,4,25527,7
70,4,15,4,15,8,3,2195,12204,7
31,2,12,4,12,8,1,668,35755,7
35,2,0,3,0,4,1,1,16937,7
83,7,9,0,5,1,1,12,29571,7
0,0,6,0,6,1,1,2,18637,7
77,4,4,4,4,8,3,116,36339,7
64,4,1,4,1,8,3,4940,40521,7
71,4,16,4,16,8,3,2202,32751,7
4,0,5,0,5,1,3,6,44487,7
27,2,17,3,17,4,1,1,15183,7
81,7,0,0,6,1,1,12,29441,7
1,0,6,0,6,2,1,8037,6963,7
5,0,5,0,5,2,1,8037,45245,7
70,4,15,4,15,8,3,4277,2680,7
65,4,9,4,9,8,3,4181,18958,7
27,2,17,4,17,8,1,2067,21425,7
79,4,6,4,6,8,3,1576,2612,7
18,2,5,3,5,4,1,1,27358,7
35,2,0,3,0,4,1,1,32264,7
65,4,9,4,9,8,3,833,10833,7
22,2,11,4,11,8,1,3760,45675,7
1,0,6,0,6,2,1,8037,8332,7
81,7,0,0,6,1,3,0,28786,7
30,2,20,4,20,8,1,4091,25198,7
83,7,9,0,5,1,3,0,34621,7
25,2,15,3,15,4,1,0,1046,7
23,2,13,3,13,4,1,0,13536,7
61,4,2,4,2,8,3,4989,5197,7
63,4,10,4,10,8,3,922,36052,7
25,2,15,3,15,4,1,0,14897,7
81,7,0,0,6,1,1,2,13620,7
68,4,13,4,13,8,3,5608,23899,7
34,2,6,3,6,4,1,1,28777,7
2,0,7,0,7,1,1,13,14942,7
31,2,12,3,12,4,1,0,32423,7
61,4,2,4,2,8,3,2817,14448,7
2,0,7,0,7,2,1,8037,21135,7
29,2,19,2,19,4,3,1,35060,7
3,0,10,0,10,1,1,2,29845,7
80,4,0,4,0,8,3,6347,6985,7
82,7,10,0,10,1,1,4,23262,7
82,7,10,0,10,1,3,12,3993,7
72,4,17,4,17,8,3,7577,23492,7
4,0,5,0,5,1,1,10,18082,7
18,2,5,3,5,4,1,1,29915,7
74,4,19,4,19,8,3,340,23456,7
29,2,19,3,19,4,1,0,15607,7
83,7,9,0,5,2,1,8037,29324,7
0,0,6,0,6,1,1,12,25298,7
23,2,13,4,13,8,1,3486,35609,7
83,7,9,0,5,2,3,8037,4483,7
78,4,7,4,7,8,3,3777,14691,7
82,7,10,0,10,2,1,8037,23730,7
62,4,8,4,8,8,3,4029,388,7
3,0,10,0,10,1,1,9,13403,7
30,2,20,4,20,8,1,5841,26372,7
80,4,0,4,0,8,3,2197,12744,7
24,2,14,3,14,4,1,0,20011,7
32,2,4,3,4,4,1,0,17621,7
20,2,9,3,9,4,1,1,8768,7
68,4,13,4,13,8,3,2989,43420,7
81,7,0,0,6,1,3,11,23373,7
4,0,5,0,5,1,1,4,3043,7
18,2,5,3,5,4,1,1,40793,7
75,4,20,4,20,8,3,3976,32112,7
11,6,4,4,0,8,1,3035,39486,0
62,4,8,4,8,8,3,6499,3306,7
72,4,17,4,17,8,3,1686,3646,7
71,4,16,4,16,8,3,5724,16857,7
80,4,0,4,0,8,3,3185,42121,7
24,2,14,3,14,4,1,1,23843,7
1,0,6,0,6,1,1,12,43214,7
4,0,5,0,5,1,1,2,749,7
5,0,5,0,5,1,1,12,18665,7
4,0,5,0,5,2,1,8037,33566,7
26,2,16,3,16,4,1,0,14432,7
5,0,5,0,5,1,1,6,14636,7
13,6,5,7,9,2,1,8037,27324,0
26,2,16,4,16,8,1,5166,20686,7
82,7,10,0,10,1,1,11,42551,7
31,2,12,3,12,4,1,0,32798,7
5,0,5,0,5,1,3,2,7616,7
69,4,14,4,14,8,3,7719,27755,7
32,2,4,3,4,4,1,0,5179,7
3,0,10,0,10,1,1,6,22424,7
83,7,9,0,5,1,1,13,38374,7
19,2,1,3,1,4,1,0,10406,7
18,2,5,3,5,4,1,1,11738,7
4,0,5,0,5,1,1,4,23186,7
82,7,10,0,10,2,1,8037,26799,7
34,2,6,4,6,8,1,7462,30630,7
71,4,16,4,16,8,3,5878,32013,7
82,7,10,0,10,2,1,8037,2663,7
83,7,9,0,5,1,3,11,15296,7
83,7,9,0,5,2,1,8037,33432,7
83,7,9,0,5,1,1,12,14681,7
62,4,8,4,8,8,3,6777,3257,7
81,7,0,0,7,1,1,13,941,7
2,0,7,0,7,2,1,8037,28733,7
4,0,5,0,5,1,1,10,36661,7
21,2,3,3,3,4,1,1,10959,7
83,7,9,0,5,1,1,1,45705,7
82,7,10,0,10,2,1,8037,19132,7
83,7,9,0,5,2,1,8037,8377,7
25,2,15,4,15,8,1,438,40702,7
30,2,20,4,20,8,1,1005,23116,7
70,4,15,4,15,8,3,1401,23100,7
83,7,9,0,5,2,1,8037,16894,7
74,4,19,4,19,8,3,7406,1970,7
2,0,7,0,7,1,1,13,28165,7
15,2,2,4,2,8,1,3421,30654,7
27,2,17,4,17,8,1,3156,28261,7
80,4,0,4,0,8,3,6682,36727,7
74,4,19,4,19,8,3,4019,27670,7
1,0,6,0,6,1,1,12,43947,7
4,0,5,0,5,2,1,8037,1606,7
5,0,5,0,5,1,1,1,36377,7
23,2,13,3,13,4,1,0,37673,7
83,7,9,0,5,1,3,9,23149,7
34,2,6,3,6,4,1,1,22916,7
70,4,15,4,15,8,3,3992,30302,7
68,4,13,4,13,8,3,956,27643,7
29,2,19,4,19,8,1,2474,21743,7
67,4,11,4,11,8,3,5311,23126,7
72,4,17,2,14,4,1,0,32491,4
5,0,5,0,5,2,1,8037,6690,7
81,7,0,0,6,1,1,2,15001,7
83,7,9,0,5,1,3,9,20360,7
0,0,6,0,6,2,1,8037,19025,7
81,7,0,0,6,1,1,1,3310,7
31,2,12,4,12,8,1,2988,34465,7
3,0,10,0,10,1,1,7,22081,7
1,0,6,0,6,2,1,8037,9638,7
27,2,17,3,17,4,1,1,7940,7
25,2,15,3,15,4,1,1,13103,7
4,0,5,0,5,1,1,6,30905,7
23,2,13,3,13,4,1,1,18780,7
83,7,9,0,5,1,3,4,5157,7
0,0,6,0,6,1,1,12,9450,7
24,2,14,4,14,8,1,3429,31197,7
76,4,12,4,12,8,3,1953,33478,7
24,2,14,3,14,4,1,1,33125,7
64,4,1,1,5,2,3,8037,40364,2
0,0,6,0,6,1,1,4,42400,7
28,2,18,3,18,4,1,0,18183,7
4,0,5,0,5,1,1,2,2255,7
31,2,12,3,12,4,1,1,24206,7
71,4,16,4,16,8,3,7932,8541,7
61,4,2,4,2,8,3,3879,26138,7
28,2,18,3,18,4,1,1,3039,7
72,4,17,4,17,8,3,3836,28735,7
20,2,9,3,9,4,1,0,6771,7
18,2,5,3,5,4,1,0,25642,7
1,0,6,0,6,2,1,8037,27949,7
64,4,1,4,1,8,3,4687,29486,7
26,2,16,4,16,8,1,6638,35706,7
68,4,13,4,13,8,3,5157,35615,7
5,0,5,0,5,1,1,9,40429,7
4,0,5,0,5,1,3,12,9798,7
76,4,12,4,12,8,3,7758,12929,7
4,0,5,0,5,2,3,8037,29031,7
1,0,6,0,6,1,1,4,29520,7
62,4,8,4,8,8,3,438,14782,7
0,0,6,0,6,1,1,12,44119,7
22,2,11,4,11,8,1,6956,42561,7
28,2,18,3,18,4,1,1,13808,7
19,2,1,3,1,4,1,1,24044,7
16,2,8,3,8,4,1,1,15084,7
79,4,6,4,6,8,3,4489,26965,7
79,4,6,4,6,8,3,1871,2260,7
80,4,0,4,0,8,3,1613,19642,7
11,6,4,4,0,8,1,3035,39541,0
23,2,13,3,13,4,1,1,13369,7
67,4,11,4,11,8,3,1043,38231,7
35,2,0,3,0,4,1,1,25022,7
63,4,10,4,10,8,3,2169,38308,7
66,4,3,4,3,8,3,1360,7611,7
62,4,8,4,8,8,3,2307,17141,7
82,7,10,0,10,1,1,12,42510,7
3,0,10,0,10,1,1,12,27376,7
68,4,13,4,13,8,3,7142,27790,7
31,2,12,3,12,4,1,0,119,7
78,4,7,4,7,8,3,557,17140,7
19,2,1,4,1,8,1,7110,42286,7
11,6,4,4,0,8,1,3035,39454,0
80,4,0,4,0,8,3,3636,4955,7
16,2,8,3,8,4,1,1,20963,7
2,0,7,0,7,1,1,13,35124,7
66,4,3,4,3,8,3,426,24974,7
14,6,17,4,18,8,1,2017,11783,7
81,7,0,0,6,1,3,12,15204,7
81,7,0,0,6,2,1,8037,27787,7
4,0,5,0,5,1,1,11,30538,7
35,2,0,4,0,8,1,2745,25324,7
72,4,17,4,17,8,3,3595,31492,7
2,0,7,0,7,1,1,13,40889,7
15,2,2,3,2,4,1,0,3855,0
74,4,19,4,19,8,3,3545,45486,7
3,0,10,0,10,1,1,10,16602,7
3,0,10,0,10,1,1,12,45625,7
68,4,13,4,13,8,3,2289,25300,7
74,4,19,4,19,8,3,5720,43002,7
26,2,16,3,16,4,1,1,41342,7
1,0,6,0,6,1,1,10,28653,7
75,4,20,4,20,8,3,1627,1346,7
31,2,12,3,12,4,1,0,29059,7
74,4,19,4,19,8,3,2190,3343,7
28,2,18,4,18,8,1,4722,42503,7
81,7,0,0,6,1,1,9,6052,7
82,7,10,0,10,1,1,1,21604,7
71,4,16,4,16,8,3,395,29893,7
30,2,20,3,20,4,1,0,26386,7
3,0,10,0,10,1,1,11,34644,7
73,4,18,4,18,8,3,483,5353,7
15,2,2,3,2,4,1,0,3911,0
81,7,0,0,6,1,3,11,11143,7
80,4,0,4,0,8,3,103,8057,7
15,2,2,3,2,4,1,0,3808,0
28,2,18,3,18,4,1,1,15174,7
1,0,6,0,6,1,1,12,28665,7
68,4,13,4,13,8,3,6344,11606,7
35,2,0,4,0,8,1,1190,31497,7
2,0,7,0,7,2,1,8037,30981,7
76,4,12,4,12,8,3,5374,29716,7
81,7,0,0,6,2,1,8037,4282,7
0,0,6,0,6,1,1,6,19986,7
4,0,5,0,5,2,1,8037,22294,7
26,2,16,3,16,4,1,1,41506,7
18,2,5,3,5,4,1,0,22867,7
3,0,10,0,10,1,3,6,14367,7
35,2,0,4,0,8,1,1810,20262,7
15,2,2,3,2,4,1,0,3776,0
18,2,5,3,5,4,1,1,44765,7
35,2,0,4,0,8,1,6523,27617,7
35,2,0,3,0,4,1,1,25138,7
82,7,10,0,10,1,1,1,44783,7
18,2,5,3,5,4,1,1,33095,7
11,6,4,4,0,8,1,3035,39579,0
19,2,1,4,1,8,1,4792,41671,7
76,4,12,4,12,8,3,3591,34845,7
35,2,0,4,0,8,1,271,21457,7
83,7,9,0,5,2,1,8037,7126,7
83,7,9,0,5,1,1,7,28352,7
21,2,3,3,3,4,1,0,5261,7
0,0,6,0,6,1,1,12,20529,7
81,7,0,0,6,1,1,10,13256,7
83,7,9,0,5,1,3,1,24469,7
32,2,4,4,4,8,1,4802,23632,7
76,4,12,4,12,8,3,4461,40279,7
83,7,9,0,5,1,1,11,33992,7
0,0,6,0,6,2,1,8037,23739,7
70,4,15,4,15,8,3,6537,12858,7
25,2,15,3,15,4,1,0,1184,7
19,2,1,3,1,4,1,0,22341,7
1,0,6,0,6,1,1,7,8869,7
1,0,6,0,6,2,1,8037,34721,7
0,0,6,0,6,2,1,8037,18858,7
83,7,9,0,5,1,3,2,43036,7
29,2,19,3,19,4,1,0,2637,7
1,0,6,0,6,1,3,1,5602,7
22,2,11,3,11,4,1,1,24449,7
15,2,2,4,2,8,1,4822,37577,7
34,2,6,3,6,4,1,1,15287,7
31,2,12,4,12,8,1,7900,38053,7
82,7,10,0,10,1,3,11,8549,7
68,4,13,4,13,8,3,1696,19481,7
3,0,10,0,10,2,1,8037,34224,7
76,4,12,4,12,8,3,3998,8458,7
1,0,6,0,6,1,1,1,37846,7
82,7,10,0,10,1,3,11,7583,7
11,6,4,4,0,8,1,3035,39495,0
13,6,5,7,9,2,1,8037,27296,0
83,7,9,0,5,1,1,1,20567,7
4,0,5,0,5,1,1,6,41866,7
65,4,9,4,9,8,3,2595,43282,7
0,0,6,0,6,1,1,1,1526,7
29,2,19,4,19,8,1,3807,43790,7
23,2,13,4,13,8,1,168,30137,7
77,4,4,4,4,8,3,2388,6088,7
22,2,11,4,11,8,1,5187,35331,7
65,4,9,4,9,8,3,4515,26812,7
26,2,16,4,16,8,1,7484,21097,7
4,0,5,0,5,1,1,1,33297,7
1,0,6,0,6,2,1,8037,43641,7
17,2,10,3,10,4,1,1,29498,7
73,4,18,4,18,8,3,4721,16658,7
16,2,8,4,8,8,1,4731,30208,7
3,0,10,0,10,2,1,8037,36208,7
2,0,7,0,7,2,1,8037,16739,7
26,2,16,3,16,4,1,1,41636,7
2,0,7,0,7,2,1,8037,45695,7
61,4,2,4,2,8,3,1099,32259,7
34,2,6,4,6,8,1,1409,27648,7
34,2,6,4,6,8,1,318,40842,7
83,7,9,0,5,1,1,9,22797,7
24,2,14,3,14,4,1,0,43955,7
